idEncuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Distrito;Edad;Nacionalidad;Sexo;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Histórica;¿Con qué finalidad se dirige habitualmente a la Biblioteca Histórica Municipal?;¿Puede indicarnos a qué otros fines?;¿Cuántas veces ha acudido en el último año a la Biblioteca Histórica?;¿Ha utilizado el servicio de consulta en sala?;¿Qué opinión le merece el tiempo de espera para ser atendido? Valore de 0 a 10. Consulta en sala;¿Ha utilizado el servicio de reprografía?;¿Qué opinión le merece el tiempo de espera para la recogida de los documentos? Valore de 0 a 10. Servicio de reprografía;¿Ha participado en alguna actividad organizada por la Biblioteca Histórica (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué opinión le merecen las actividades? Valore de 0 a 10.;Servicio de información general y especializada;Servicio de reserva de documentos;¿Conoce la página web de la Biblioteca Histórica?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura.;La información general y especializada recibida;El uso de la red wifi;El trato y atención recibidos;El proceso de realización de carnés;La adecuación de la colección a sus necesidades;¿Cuál es su valoración general de la Biblioteca Histórica y sus servicios? Valore de 0 a 10.;PREGUNTA 13 De manera global, el servicio prestado por la Biblioteca Histórica Municipal ha sido: ;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Histórica de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Indiquemos su correo electrónico y a partir de estos momentos no recibirá invitación para participar en encuestas de satisfacción relacionadas con la Biblioteca Histórica Municipal.
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190288;2021-11-23 18:49:27. 0;;;;;Iniciar la encuesta;Investigación y estudio;;2;Sí;5;No;;No;;0;0;Sí;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;5;4;7;No sabe/ No contesta;8;5;5;7;No sabe/no contesta;Más personal. Más posibilidad de conseguir y consultar documentos en varios formatos y varios a la vez;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190289;2021-11-23 18:49:53. 0;;;;;Iniciar la encuesta;Interés personal;;1;Sí;9;No;;No;;No he utilizado nunca el servicio;No he utilizado nunca el servicio;No;;;;;9;9;9;No sabe/ No contesta;9;9;9;9;No sabe/no contesta;;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190308;2021-11-23 22:28:4. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;9;No;;No;;9;9;Sí;8;7;8;7;8;7;8;8;9;9;8;9;No sabe/no contesta;;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190324;2021-11-24 5:41:40. 0;;;;;Iniciar la encuesta;Investigación y estudio;;30;Sí;10;Sí;10;Sí;10;10;10;Sí;8;8;8;8;10;9;9;10;10;10;10;10;No sabe/no contesta;;De 30 a 44 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190330;2021-11-24 7:51:44. 0;;;;;Iniciar la encuesta;Investigación y estudio;;7;Sí;8;Sí;6;No;;No he utilizado nunca el servicio;No he utilizado nunca el servicio;Sí;8;6;7;5;8;8;8;6;9;8;9;8;No sabe/no contesta;;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190374;2021-11-24 9:26:6. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;10;No;;No;;8;8;No;;;;;7;5;9;No sabe/ No contesta;10;10;10;9;No sabe/no contesta;Ampliación del horario para que también abra por la tarde.;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190509;2021-11-24 18:3:41. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;No;;No;;No;;No he utilizado nunca el servicio;No he utilizado nunca el servicio;Sí;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;8;No sabe/no contesta;;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190651;2021-11-25 12:44:12. 0;;;;;Iniciar la encuesta;Investigación y estudio;;1;Sí;10;Sí;10;No;;10;10;Sí;10;10;10;10;10;10;10;10;10;10;10;10;No sabe/no contesta;Está muy bien, atienden de maravilla, son grandes profesionales, muy satisfecha.;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190699;2021-11-25 17:31:45. 0;;;;;Iniciar la encuesta;Investigación y estudio;;100;Sí;8;Sí;8;Sí;9;8;8;Sí;8;8;8;8;8;8;8;8;8;8;8;9;No sabe/no contesta;Horario más ampliado los fines de semana.Gracias.;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190826;2021-11-27 12:58:3. 0;;;;;Iniciar la encuesta;Investigación y estudio;;1;Sí;9;No;;No;;8;No he utilizado nunca el servicio;Sí;No sabe / No contesta;9;9;9;8;9;9;;8;8;No sabe/ No contesta;9;No sabe/no contesta;;Más de 65 años;
